N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,이마트,"145,500","7,500",+5.43%,"5,000","40,559","27,876",30.92,"1,272,475",7.30,2.76,
60,LG이노텍,"169,500","3,500",+2.11%,"5,000","40,116","23,667",34.49,"479,870",17.55,4.73,
61,맥쿼리인프라,"11,150",50,+0.45%,0,"38,918","349,044",18.84,"412,124",N/A,N/A,
62,한국타이어앤테크놀로지,"31,400",150,+0.48%,500,"38,897","123,875",38.20,"356,771",13.13,6.03,
63,한미사이언스,"58,200",600,+1.04%,500,"38,418","66,011",1.95,"200,919",135.66,4.73,
64,두산중공업,"14,700",600,+4.26%,"5,000","37,212","253,141",7.57,"24,218,432",-2.90,-14.73,
65,현대건설,"32,100",100,-0.31%,"5,000","35,745","111,356",21.79,"599,356",10.62,6.30,
66,CJ대한통운,"156,000","2,000",-1.27%,"5,000","35,587","22,812",20.88,"69,568",39.37,1.41,
67,현대중공업지주,"223,500",0,0.00%,"5,000","35,310","15,799",18.47,"41,259",-15.76,2.20,
68,삼성중공업,"5,480",210,+3.98%,"5,000","34,524","630,000",15.24,"6,601,178",-1.89,-21.88,
69,한미약품,"291,500","3,000",-1.02%,"2,500","34,522","11,843",14.40,"91,007",95.76,7.30,
70,더존비즈온,"115,000",0,0.00%,500,"34,124","29,673",45.29,"258,690",71.79,18.78,
71,SKC,"89,200","3,200",+3.72%,"5,000","33,481","37,535",8.84,"379,466",32.32,3.86,
72,현대제철,"25,000",300,+1.21%,"5,000","33,361","133,446",19.05,"727,632",-12.40,0.10,
73,에스원,"87,300",800,-0.91%,500,"33,173","37,999",55.81,"69,779",22.42,11.32,
74,삼성카드,"28,400",250,-0.87%,"5,000","32,904","115,859",9.81,"187,210",8.78,5.04,
75,대한항공,"18,550",150,+0.82%,"5,000","32,316","174,210",11.74,"1,159,828",-2.76,-22.09,
76,대림산업,"92,800","2,100",-2.21%,"5,000","32,294","34,800",40.27,"642,280",5.22,11.74,
77,롯데지주,"29,950",50,-0.17%,200,"31,420","104,909",11.38,"149,585",-4.52,-5.21,
78,DB손해보험,"44,000",650,-1.46%,500,"31,152","70,800",39.72,"159,388",5.75,6.92,
79,GS,"33,000",150,-0.45%,"5,000","30,662","92,915",20.80,"248,747",-27.30,6.26,
80,현대차2우B,"83,100",400,+0.48%,"5,000","30,319","36,485",62.37,"63,913",11.97,N/A,
81,금호석유,"99,400","3,600",-3.50%,"5,000","30,285","30,468",33.36,"213,902",11.37,11.84,
82,녹십자,"257,000",500,-0.19%,"5,000","30,034","11,687",17.48,"196,317",502.94,-0.35,
83,두산퓨얼셀,"53,300",500,+0.95%,100,"29,578","55,494",4.94,"2,209,908",81.25,N/A,
84,쌍용양회,"5,630",0,0.00%,"1,000","28,367","503,860",2.88,"743,532",21.25,7.02,
85,호텔신라,"72,200",200,-0.28%,"5,000","28,337","39,248",20.57,"778,811",-38.18,20.16,
86,삼성증권,"31,200",150,+0.48%,"5,000","27,862","89,300",24.81,"462,044",8.56,8.15,
87,두산밥캣,"27,700",600,+2.21%,500,"27,769","100,249",22.14,"520,374",15.17,7.05,
88,LG화학우,"357,500","10,000",+2.88%,"5,000","27,487","7,689",53.90,"42,392",61.63,N/A,
89,동서,"27,250",550,+2.06%,500,"27,168","99,700",5.98,"202,372",19.75,10.53,
90,TIGER 200,"31,600",260,+0.83%,0,"26,528","83,950",6.89,"1,865,904",N/A,N/A,
91,하이트진로,"37,600",550,+1.48%,"5,000","26,370","70,134",10.10,"385,368",38.84,-3.86,
